id,age,sex,region,education,height_cm,income_man
56,21,M,west,vocational,168.9,257.3
57,46,F,south,high_school,161.0,319.3
58,37,M,central,master,173.0,734.8
59,18,F,east,vocational,164.1,163.6
60,35,F,west,high_school,155.0,634.3
61,30,M,south,high_school,171.3,405.5
62,62,F,south,bachelor,157.8,654.5
63,20,M,south,bachelor,175.4,523.7
64,23,M,west,high_school,164.6,739.9
65,56,M,north,master,177.3,742.3
66,60,M,central,master,173.9,647.2
67,32,M,central,master,162.8,1206.7
68,34,F,south,high_school,165.2,560.1
69,50,F,north,high_school,171.2,329.7
70,18,F,east,master,164.0,355.9
71,18,F,south,high_school,166.5,258.4
72,38,F,north,bachelor,158.7,574.8
73,62,M,central,bachelor,160.7,291.1
74,36,F,east,high_school,147.5,145.1
75,43,F,south,bachelor,159.7,306.7
76,57,F,central,master,154.8,370.0
77,69,F,east,bachelor,152.9,405.6
78,35,M,east,vocational,170.6,571.5
79,42,M,west,master,174.8,549.9
80,66,M,west,bachelor,162.0,691.7
81,22,M,east,bachelor,168.2,193.1
82,55,F,west,master,167.0,482.7
83,29,M,central,bachelor,164.3,609.7
84,43,F,west,high_school,163.2,512.2
85,39,F,east,high_school,155.4,236.7
86,30,F,east,high_school,161.4,336.3
87,29,M,east,bachelor,177.8,1479.4
88,46,F,north,bachelor,162.5,509.7
89,55,F,east,bachelor,163.5,375.9
90,40,M,south,vocational,163.9,391.6
91,43,F,east,bachelor,164.7,525.6
92,49,M,central,master,165.7,593.3
93,29,F,east,high_school,159.7,296.9
94,52,F,north,bachelor,159.7,244.1
95,53,F,south,bachelor,161.0,320.2
96,76,M,central,bachelor,173.1,576.0
97,37,F,east,high_school,153.3,313.7
98,36,F,east,bachelor,150.4,
99,52,F,east,phd,163.3,617.7
100,53,M,west,bachelor,172.2,607.2
101,35,M,west,master,178.1,899.7
102,37,M,east,phd,170.7,599.4
103,49,F,north,vocational,150.1,543.4
104,31,M,west,bachelor,177.0,339.8
105,37,M,central,vocational,168.7,568.1
106,43,M,south,phd,173.1,836.5
107,55,F,west,high_school,154.4,654.9
108,34,F,north,vocational,167.7,544.4
109,18,F,east,master,153.1,490.6
110,18,M,east,high_school,168.9,237.4
111,26,F,south,bachelor,158.8,440.3
112,25,F,central,vocational,151.9,558.2
113,40,F,central,phd,160.1,425.5
114,27,M,central,master,181.0,339.6
115,33,F,central,high_school,155.4,357.8
116,32,M,central,bachelor,173.4,585.0
117,36,M,north,vocational,154.0,259.9
118,59,M,north,bachelor,170.8,582.2
119,51,F,east,bachelor,156.4,509.2
120,42,M,west,master,165.9,178.4
121,36,M,north,high_school,177.7,324.3
122,36,M,central,high_school,169.0,335.6
123,46,F,west,bachelor,157.2,471.2
124,50,F,west,bachelor,156.0,1159.7
125,30,F,east,bachelor,147.1,213.3
126,42,M,east,high_school,164.0,250.7
127,18,F,east,vocational,163.8,61.6
128,45,F,central,master,146.0,442.4
129,52,F,west,high_school,153.8,321.1
130,38,M,south,vocational,168.5,317.5
131,66,F,east,master,168.3,1195.2
132,31,M,east,high_school,175.8,543.1
133,45,M,east,bachelor,167.5,
134,42,F,south,high_school,165.8,297.9
135,41,M,south,master,166.4,1049.1
136,41,F,east,bachelor,164.1,483.4
137,43,M,central,master,162.6,388.9
138,53,F,north,high_school,164.4,156.4
139,60,M,central,bachelor,168.5,478.0
140,42,F,north,bachelor,152.2,748.5
141,53,F,east,high_school,156.9,1405.5
142,33,M,central,high_school,172.7,361.8
143,52,M,east,high_school,167.9,283.0
144,32,M,east,master,174.4,274.3
145,56,F,west,bachelor,154.8,749.8
146,71,F,east,bachelor,161.8,219.4
147,40,F,south,bachelor,160.8,653.7
148,18,M,central,bachelor,170.6,531.6
149,35,F,central,vocational,155.6,474.5
150,58,F,east,vocational,159.1,409.3
151,49,M,west,bachelor,174.4,778.2
152,45,M,east,high_school,183.8,447.1
153,55,F,east,master,163.6,405.5
154,48,M,east,master,177.1,1769.4
155,58,F,central,vocational,176.1,380.7
156,54,M,central,bachelor,174.2,905.3
157,62,F,south,high_school,161.0,111.1
158,47,M,west,phd,175.4,1427.0
159,54,M,west,master,164.7,1498.2
160,38,M,west,master,168.2,584.6
161,34,F,west,vocational,155.3,500.0
162,64,M,west,high_school,175.0,620.8
163,45,F,north,high_school,157.2,264.6
164,52,F,north,high_school,159.0,2903.5
165,44,M,central,high_school,177.7,258.3
166,34,F,west,high_school,163.2,235.4
167,42,M,central,phd,170.0,1250.9
168,61,M,east,high_school,166.8,772.8
169,49,F,west,high_school,164.8,264.7
170,20,M,east,master,175.8,271.0
171,39,F,east,bachelor,148.9,334.5
172,65,M,north,bachelor,169.1,926.8
173,39,F,north,bachelor,159.2,275.3
174,19,M,central,master,175.8,479.7
175,67,F,east,bachelor,163.5,868.8
176,51,F,west,bachelor,159.8,510.8
177,41,F,west,bachelor,161.6,851.8
178,37,M,east,vocational,,350.8
179,56,M,west,vocational,166.8,439.0
180,35,M,east,vocational,169.4,235.5
181,57,M,central,high_school,171.1,777.1
182,49,M,south,bachelor,170.8,374.2
183,45,M,south,high_school,159.3,493.3
184,44,F,west,high_school,155.9,358.8
185,40,M,north,high_school,171.3,216.1
186,56,M,central,master,169.3,483.4
187,31,F,east,vocational,156.8,749.0
188,21,F,north,bachelor,161.0,381.5
189,50,M,east,master,164.3,373.0
190,50,F,south,high_school,148.8,465.4
191,48,M,west,bachelor,168.8,522.0
192,47,F,south,high_school,162.6,2565.6
193,38,F,south,high_school,168.0,407.3
194,52,M,east,bachelor,175.8,473.1
195,41,F,central,master,149.7,1206.4
196,36,F,west,high_school,156.9,123.1
197,38,M,west,bachelor,172.6,535.8
198,68,M,north,high_school,172.1,1379.8
199,19,F,central,bachelor,161.3,302.9
200,48,F,east,bachelor,152.9,201.9
201,20,M,north,bachelor,171.4,288.7
202,41,M,west,bachelor,173.6,1174.6
203,36,M,north,high_school,176.1,450.0
204,18,F,north,bachelor,153.5,197.9
205,47,F,west,bachelor,156.2,356.2
206,37,F,east,bachelor,142.5,341.7
207,18,F,central,high_school,154.6,283.0
208,53,M,east,vocational,167.7,1012.6
209,61,F,south,vocational,152.3,834.7
210,61,M,west,high_school,172.0,581.0
211,47,M,south,high_school,170.7,199.3
212,43,M,west,vocational,157.0,214.7
213,59,F,west,bachelor,159.4,753.2
214,64,M,central,high_school,165.2,217.9
215,57,M,east,master,174.0,600.0
216,30,M,east,bachelor,163.1,531.5
217,45,F,south,bachelor,158.4,272.7
218,48,F,central,vocational,156.6,246.3
219,18,M,north,bachelor,172.9,322.0
220,48,F,west,bachelor,158.9,691.0
221,72,F,central,master,156.7,1174.4
222,50,F,south,bachelor,149.3,743.2
223,61,M,central,bachelor,161.8,637.0
224,44,M,west,bachelor,167.4,361.7
225,41,F,south,bachelor,158.2,271.2
226,47,M,east,high_school,167.2,313.0
227,31,F,central,bachelor,161.8,531.0
228,29,M,east,bachelor,169.3,531.2
229,58,M,south,master,165.0,215.1
230,60,F,east,bachelor,156.6,366.2
231,29,F,west,vocational,159.5,654.9
232,55,F,south,phd,160.1,724.9
233,41,M,west,vocational,,200.0
234,46,M,central,high_school,166.9,1501.0
235,48,M,east,high_school,170.5,411.5
236,55,M,south,high_school,173.6,542.8
237,43,F,east,high_school,158.1,460.0
238,60,M,east,vocational,167.9,411.2
239,46,F,west,bachelor,149.2,344.9
240,50,F,north,bachelor,155.2,1709.7
241,31,M,north,high_school,164.3,587.4
242,70,M,south,bachelor,160.3,982.1
243,48,F,south,high_school,153.6,531.5
244,51,M,south,master,164.5,377.0
245,21,M,north,high_school,174.6,550.4
246,31,M,east,bachelor,174.7,287.9
247,58,M,east,vocational,165.4,583.0
248,46,F,south,bachelor,156.7,208.9
249,18,F,central,vocational,147.4,84.4
250,55,F,east,bachelor,155.3,655.7
251,35,M,south,high_school,173.5,231.1
252,60,M,north,master,176.1,230.6
253,41,F,east,bachelor,154.1,657.9
254,45,F,north,bachelor,164.3,1636.1
255,57,F,east,master,149.4,1350.7
256,30,M,south,phd,163.3,492.1
257,29,M,central,high_school,175.4,327.9
258,39,F,east,high_school,167.9,574.6
259,53,F,west,high_school,161.1,744.9
260,25,M,south,high_school,170.7,248.8
261,20,F,central,bachelor,145.5,338.6
262,53,M,west,phd,158.5,873.4
263,34,F,east,phd,159.0,761.1
264,37,F,west,bachelor,156.1,432.0
265,18,M,east,bachelor,164.1,317.4
266,33,F,central,master,158.6,1058.0
267,42,F,east,master,158.9,1086.7
268,54,F,south,high_school,163.7,525.8
269,32,F,north,bachelor,159.0,1109.6
270,64,F,east,master,165.3,522.8
271,33,F,central,high_school,158.2,790.7
272,33,F,west,vocational,157.5,487.8
273,62,F,west,phd,164.4,
274,45,M,central,phd,164.9,360.3
275,35,M,central,master,188.4,377.6
276,40,F,east,bachelor,160.4,608.1
277,60,F,west,high_school,160.4,518.8
278,61,M,west,vocational,174.3,1477.0
279,31,M,west,bachelor,182.6,316.9
280,41,M,east,bachelor,175.9,868.2
281,43,F,east,bachelor,148.9,946.9
282,29,F,central,bachelor,166.3,602.2
283,41,F,central,vocational,156.2,238.0
284,42,F,central,bachelor,158.8,1072.0
285,57,M,central,vocational,163.1,976.1
286,58,F,south,vocational,161.3,642.4
287,38,F,south,high_school,154.4,389.6
288,39,F,south,high_school,158.8,399.4
289,51,M,west,master,169.2,626.9
290,34,F,west,vocational,169.4,523.0
291,50,M,east,high_school,183.3,432.2
292,41,F,south,bachelor,158.5,306.5
293,29,M,east,bachelor,171.4,248.0
294,30,F,east,high_school,156.0,203.5
295,61,M,west,high_school,177.9,510.9
296,40,M,east,high_school,169.0,379.9
297,63,M,east,bachelor,168.4,693.4
298,35,M,south,high_school,177.1,475.1
299,46,M,central,high_school,167.7,290.9
300,73,M,east,high_school,170.8,1036.0
301,28,M,north,bachelor,161.2,373.7
302,18,F,east,high_school,162.3,182.8
303,59,M,south,master,183.0,894.2
304,31,M,central,high_school,175.5,123.2
305,42,M,north,bachelor,180.1,345.6
306,34,F,south,vocational,153.3,630.7
307,45,F,north,vocational,159.6,162.0
308,30,M,east,high_school,165.2,614.5
309,40,F,central,bachelor,156.9,1108.9
310,48,F,east,master,162.7,483.2
311,29,F,north,high_school,158.8,354.7
312,33,F,west,high_school,150.0,599.3
313,37,F,west,master,150.6,406.5
314,23,F,central,bachelor,150.2,579.1
315,37,F,central,high_school,161.1,237.5
316,44,F,north,high_school,170.2,286.9
317,37,F,north,bachelor,166.1,299.5
318,38,M,south,bachelor,159.2,614.3
319,42,F,east,bachelor,166.4,934.4
320,33,M,central,master,176.8,483.4
321,51,M,south,bachelor,161.4,287.8
322,61,F,north,high_school,156.4,230.8
323,36,F,central,vocational,164.6,470.5
324,48,M,east,vocational,174.4,1288.6
325,39,M,west,high_school,162.9,473.0
326,47,M,west,high_school,174.8,335.1
327,62,M,west,vocational,157.7,772.9
328,49,M,south,bachelor,169.6,500.0
329,19,M,south,high_school,178.1,209.4
330,48,F,central,vocational,158.3,255.4
331,58,M,central,bachelor,167.9,1310.3
332,39,F,west,bachelor,163.4,118.1
333,55,M,north,bachelor,177.0,921.9
334,33,M,south,master,179.1,414.5
335,23,F,central,bachelor,163.3,286.7
336,44,M,east,high_school,177.7,1022.1
337,19,F,west,vocational,162.5,180.1
338,39,M,west,bachelor,172.6,354.5
339,59,F,north,high_school,158.7,386.5
340,18,M,south,high_school,169.5,314.7
341,25,F,east,high_school,151.2,218.2
342,29,M,south,vocational,165.1,153.4
343,41,M,central,vocational,169.3,270.8
344,37,M,central,high_school,172.5,750.8
345,60,M,east,master,179.9,717.7
346,54,M,east,master,170.7,856.0
347,48,M,south,high_school,177.2,362.1
348,44,F,south,master,164.5,397.0
349,47,M,west,high_school,169.6,1043.0
350,31,F,central,master,161.6,432.0
351,53,M,north,master,169.5,520.1
352,28,F,central,high_school,165.9,541.5
353,53,M,north,bachelor,174.9,394.6
354,57,M,north,phd,163.6,546.3
355,45,F,west,master,159.1,2518.2
356,40,M,north,phd,181.2,657.8
357,47,M,north,bachelor,169.9,646.9
358,18,M,north,high_school,173.8,791.8
359,46,M,west,master,174.4,756.0
360,41,M,south,bachelor,164.6,142.7
361,41,M,north,bachelor,174.2,631.6
362,51,F,south,vocational,150.1,452.3
363,41,F,central,bachelor,154.6,500.5
364,27,F,east,high_school,164.4,332.5
365,40,M,north,bachelor,173.2,513.5
366,43,F,central,high_school,156.4,358.7
367,43,M,central,bachelor,173.8,755.9
368,44,M,west,master,170.6,457.4
369,56,F,south,vocational,158.3,271.5
370,28,M,north,bachelor,175.1,2284.3
371,44,M,east,high_school,166.5,271.8
372,59,F,south,phd,158.4,748.4
373,19,F,east,bachelor,156.4,141.9
374,44,F,south,vocational,149.0,444.6
375,34,F,west,high_school,152.9,196.9
376,37,F,south,high_school,167.3,269.4
377,30,M,west,vocational,173.4,660.0
378,40,F,east,master,150.5,707.8
379,66,F,east,bachelor,149.3,785.9
380,26,M,east,high_school,170.3,116.0
381,27,M,south,master,180.7,1317.6
382,25,M,north,vocational,169.8,174.4
383,64,M,north,master,179.1,1618.8
384,36,F,east,high_school,160.2,594.3
385,42,F,east,bachelor,160.9,679.0
386,37,M,central,master,162.7,354.6
387,30,M,east,high_school,176.8,361.3
388,39,M,central,bachelor,168.9,397.7
389,74,F,north,phd,163.2,742.5
390,60,M,south,high_school,166.0,392.5
391,31,M,west,high_school,172.1,110.2
392,50,F,east,bachelor,160.2,986.5
393,31,M,central,vocational,170.0,361.6
394,19,M,central,high_school,173.5,197.5
395,55,F,central,vocational,156.7,334.1
396,57,F,east,bachelor,154.4,677.7
397,56,M,east,high_school,181.0,270.2
398,36,F,south,vocational,164.3,109.6
399,40,F,east,master,153.8,683.0
400,52,F,south,bachelor,161.5,718.5
401,47,F,west,master,153.9,526.0
402,37,M,west,vocational,163.7,220.6
403,21,M,central,master,177.4,437.8
404,43,F,south,bachelor,148.3,223.3
405,56,M,north,high_school,176.7,251.1
406,26,M,north,master,169.4,310.9
407,50,F,west,bachelor,157.0,846.7
408,46,M,west,high_school,173.5,336.5
409,52,F,east,high_school,161.6,312.0
410,53,M,east,bachelor,165.9,1720.5
411,33,M,south,high_school,175.4,424.6
412,21,M,central,high_school,171.7,328.5
413,35,F,west,high_school,150.9,272.5
414,54,M,east,vocational,169.9,351.6
415,35,F,east,vocational,166.2,112.1
416,33,F,west,bachelor,167.9,746.5
417,18,F,east,high_school,162.4,296.9
418,65,M,west,high_school,163.6,414.9
419,53,F,south,bachelor,161.0,504.1
420,52,M,north,vocational,176.3,722.3
421,55,M,north,bachelor,175.5,252.8
422,49,F,east,high_school,162.8,282.2
423,39,F,central,high_school,160.3,188.8
424,40,F,south,high_school,157.8,945.8
425,36,M,east,vocational,167.2,662.0
426,76,M,central,vocational,159.2,153.8
427,49,F,west,master,160.2,259.7
428,36,M,west,vocational,172.2,380.3
429,48,F,central,bachelor,161.4,403.9
430,29,M,north,bachelor,162.7,213.1
431,62,M,east,high_school,175.0,1322.4
432,33,M,west,bachelor,183.7,562.0
433,49,M,east,vocational,171.5,611.8
434,56,M,south,vocational,170.6,337.5
435,47,F,east,high_school,160.0,571.0
436,43,F,north,bachelor,170.0,405.3
437,42,F,east,master,152.3,478.1
438,41,M,west,high_school,172.3,545.9
439,35,M,east,bachelor,166.0,199.2
440,36,M,north,bachelor,167.6,1191.7
441,61,M,central,high_school,170.7,499.8
442,41,F,east,bachelor,,988.6
443,32,M,east,bachelor,182.2,257.7
444,35,F,north,master,160.8,307.4
445,56,F,east,phd,156.0,368.3
446,51,M,east,high_school,186.5,491.2
447,49,M,west,vocational,168.3,488.6
448,39,M,east,bachelor,167.5,399.1
449,49,F,central,high_school,147.9,223.5
450,34,M,central,vocational,179.7,197.9
451,39,F,north,phd,163.8,585.8
452,55,M,north,high_school,186.0,340.1
453,53,M,north,vocational,162.4,332.7
454,29,F,west,master,166.7,1082.0
455,31,F,north,vocational,158.6,334.6
456,43,F,central,vocational,162.9,829.9
457,64,M,south,phd,160.8,580.9
458,18,F,south,vocational,166.7,296.7
459,46,M,west,high_school,175.9,398.5
460,24,M,central,high_school,,115.5
461,34,M,north,master,175.0,1192.1
462,37,F,east,high_school,153.8,319.0
463,37,M,east,bachelor,167.4,756.8
464,35,F,central,high_school,155.5,220.8
465,42,M,west,vocational,159.5,402.7
466,35,M,south,master,176.3,342.5
467,23,M,east,bachelor,178.4,765.9
468,52,M,central,phd,166.7,872.8
469,52,F,west,high_school,160.2,488.4
470,53,M,west,bachelor,169.4,1239.3
471,22,F,central,master,160.1,748.4
472,46,F,east,vocational,154.6,647.7
473,51,F,east,high_school,153.1,181.3
474,29,F,west,master,164.3,315.1
475,42,F,north,vocational,157.8,235.1
476,40,F,east,bachelor,169.9,720.7
477,66,F,east,phd,158.5,
478,67,M,north,high_school,165.3,214.0
479,20,M,central,high_school,178.6,239.1
480,74,F,west,high_school,161.9,188.3
481,30,F,east,vocational,162.4,
482,55,F,east,high_school,165.1,163.7
483,55,M,west,bachelor,167.0,795.1
484,29,F,west,high_school,157.5,371.9
485,48,F,central,bachelor,157.2,1495.9
486,41,F,central,high_school,150.7,575.8
487,49,F,east,vocational,156.7,345.7
488,45,F,east,vocational,166.0,660.4
489,58,M,west,bachelor,172.5,280.0
490,43,M,west,vocational,162.7,262.5
491,40,M,west,vocational,161.4,517.6
492,56,M,south,master,181.3,206.2
493,50,M,west,bachelor,170.4,563.2
494,52,F,east,high_school,154.4,227.7
495,33,M,east,master,169.3,565.6
496,28,M,east,vocational,161.8,197.7
497,35,F,north,high_school,166.5,421.7
498,34,M,east,bachelor,168.6,485.8
499,52,F,south,high_school,166.1,862.3
500,55,M,east,high_school,171.3,441.0
501,40,M,east,bachelor,179.9,341.8
502,61,M,west,high_school,172.6,394.7
503,60,M,south,bachelor,176.3,290.9
504,45,M,east,master,175.5,778.2
505,31,M,central,bachelor,174.9,633.1
506,62,M,central,bachelor,173.2,2387.3
507,41,F,west,bachelor,156.8,347.2
508,44,M,south,phd,182.9,593.3
509,38,M,north,vocational,209.3,306.2
510,30,F,central,high_school,158.2,345.8
511,23,F,east,bachelor,158.3,443.3
512,50,M,central,bachelor,173.5,558.2
513,32,F,west,high_school,155.7,579.1
514,82,F,north,bachelor,160.0,408.2
515,28,F,north,high_school,157.2,509.7
516,26,F,south,master,149.0,585.0
517,49,F,west,high_school,158.3,387.8
518,62,M,north,high_school,164.2,381.6
519,43,F,south,high_school,148.1,1402.8
520,49,M,central,high_school,171.8,269.0
521,18,M,west,high_school,174.0,295.2
522,33,F,west,high_school,161.3,214.4
523,28,F,north,high_school,161.5,791.2
524,18,M,south,high_school,159.0,408.2
525,44,F,east,vocational,150.3,287.1
526,18,F,central,vocational,169.6,343.8
527,25,M,east,vocational,164.5,387.0
528,35,M,west,vocational,174.8,303.4
529,31,M,east,high_school,166.7,513.3
530,47,F,east,high_school,158.7,475.5
531,46,M,south,high_school,167.1,462.6
532,54,M,west,bachelor,174.5,577.4
533,52,F,west,phd,159.0,863.1
534,57,M,central,master,168.2,770.6
535,42,F,central,bachelor,152.1,510.6
536,46,F,central,bachelor,159.8,361.7
537,49,M,east,high_school,163.5,1070.2
538,44,F,west,bachelor,160.7,283.3
539,37,F,central,bachelor,173.4,588.1
540,38,M,east,master,179.4,482.2
541,31,M,north,master,175.5,1361.8
542,47,M,south,vocational,170.5,281.9
543,41,M,west,bachelor,159.0,352.2
544,33,M,west,bachelor,162.8,277.6
545,33,F,central,high_school,165.6,386.9
546,26,F,west,master,153.6,204.4
547,55,F,west,high_school,154.1,312.7
548,43,F,east,phd,157.2,192.8
549,31,M,east,bachelor,164.4,522.4
550,53,F,north,high_school,151.1,305.2
551,35,F,south,bachelor,157.9,199.3
552,24,F,central,high_school,153.0,494.2
553,55,F,east,bachelor,153.9,268.1
554,35,M,east,bachelor,,756.4
555,37,F,central,bachelor,161.2,316.1
556,43,F,north,master,156.9,1362.8
557,57,F,west,high_school,157.2,621.1
558,42,M,west,high_school,174.7,226.6
559,26,M,south,vocational,170.1,207.3
560,49,M,east,high_school,169.3,
561,36,F,south,vocational,160.9,327.8
562,67,F,east,high_school,162.1,388.0
563,42,M,west,vocational,170.1,887.7
564,18,M,north,vocational,171.5,185.6
565,47,M,west,master,166.2,666.7
566,67,M,west,high_school,165.7,777.5
567,62,M,east,master,175.8,1083.0
568,66,F,north,vocational,160.8,435.0
569,29,F,east,vocational,160.8,288.0
570,54,M,east,bachelor,172.7,227.1
571,33,F,north,vocational,158.5,202.5
572,45,M,central,high_school,175.3,484.8
573,25,F,east,bachelor,163.6,349.0
574,34,M,south,high_school,176.6,370.2
575,33,M,central,vocational,170.4,692.4
576,54,M,north,bachelor,179.6,307.5
577,52,M,south,vocational,172.4,423.1
578,46,M,central,master,174.9,697.0
579,24,M,west,high_school,172.7,199.4
580,38,F,west,phd,159.6,1305.2
581,32,M,west,bachelor,166.4,767.4
582,53,M,north,phd,175.3,868.4
583,57,F,west,master,174.7,1687.4
584,56,F,central,high_school,156.0,179.4
585,32,M,central,bachelor,171.4,463.6
586,18,M,north,high_school,168.2,306.6
587,19,F,south,master,155.4,220.8
588,60,F,east,bachelor,167.2,665.6
589,37,F,central,high_school,154.3,186.9
590,32,F,north,master,155.5,712.4
591,63,M,central,high_school,161.2,814.6
592,58,F,central,bachelor,153.8,649.5
593,42,F,north,bachelor,148.3,178.4
594,38,M,north,high_school,174.9,220.9
595,40,F,central,bachelor,174.4,658.9
596,45,F,north,master,156.1,583.1
597,63,M,west,high_school,160.7,103.5
598,47,M,central,bachelor,176.6,1111.0
599,51,M,west,high_school,166.5,461.5
600,57,M,east,bachelor,179.1,383.0
601,27,F,west,high_school,156.6,502.0
602,52,M,north,master,167.1,454.2
603,38,M,central,master,169.9,393.8
604,18,M,east,high_school,175.7,305.2
605,18,M,east,vocational,169.6,746.0
606,29,M,east,bachelor,167.9,1078.1
607,49,M,central,bachelor,169.8,695.2
608,43,F,north,vocational,150.8,532.2
609,44,M,central,high_school,173.5,622.8
610,67,F,south,high_school,147.8,213.3
611,26,M,central,phd,168.2,746.8
612,42,M,central,vocational,175.7,294.5
613,46,M,central,master,172.9,748.6
614,32,M,central,bachelor,174.7,410.8
615,42,F,north,master,157.8,736.0
616,21,M,south,high_school,178.3,290.9
617,60,M,west,high_school,176.7,83.1
618,33,F,west,master,160.8,546.5
619,68,F,central,master,163.6,928.8
620,42,F,central,high_school,162.6,466.9
621,55,M,south,vocational,168.3,464.1
622,41,F,west,vocational,150.4,996.2
623,42,M,west,vocational,173.6,523.3
624,34,F,east,high_school,161.4,418.5
625,44,M,east,master,177.8,1094.6
626,46,F,east,high_school,152.8,464.3
627,32,M,north,bachelor,165.4,284.1
628,40,F,north,high_school,160.9,93.4
629,34,M,south,high_school,170.6,273.3
630,72,M,west,bachelor,159.3,951.0
631,41,M,central,vocational,173.3,359.1
632,62,M,west,bachelor,159.5,953.8
633,39,F,north,high_school,152.7,382.7
634,45,F,north,master,,1170.4
635,25,F,east,bachelor,168.8,320.1
636,36,F,central,master,151.1,670.2
637,45,M,east,high_school,169.0,537.5
638,63,M,west,vocational,171.3,1162.1
639,45,M,central,vocational,182.0,177.9
640,60,M,central,bachelor,167.9,473.5
641,50,M,east,high_school,168.0,677.6
642,63,M,north,high_school,180.6,1065.4
643,41,F,north,vocational,156.0,460.7
644,73,F,north,high_school,162.4,364.7
645,36,M,east,vocational,161.8,620.2
646,32,M,west,high_school,169.9,554.9
647,26,F,central,high_school,148.6,233.4
648,72,M,west,bachelor,164.5,750.5
649,53,M,west,vocational,176.2,928.4
650,38,F,east,vocational,157.9,1100.7
651,58,F,south,bachelor,156.3,841.2
652,51,M,west,bachelor,166.4,593.4
653,68,M,central,vocational,169.6,499.8
654,22,F,central,bachelor,159.9,476.2
655,39,M,east,phd,177.1,609.7
656,36,F,north,bachelor,143.0,508.8
657,18,M,east,master,165.8,214.2
658,56,F,west,bachelor,159.1,1129.6
659,38,M,central,high_school,170.4,200.9
660,52,F,east,vocational,160.5,351.7
661,73,F,south,bachelor,159.8,611.6
662,37,M,west,phd,169.1,1892.2
663,37,F,east,vocational,155.1,304.3
664,44,F,east,high_school,156.8,258.7
665,55,F,south,bachelor,164.9,406.5
666,35,M,south,high_school,166.5,898.2
667,34,M,west,bachelor,170.6,102.4
668,56,M,east,bachelor,172.1,344.4
669,47,F,south,bachelor,167.3,
670,18,F,east,master,156.5,491.2
671,26,F,central,bachelor,163.8,209.4
672,62,M,east,bachelor,178.6,599.9
673,47,M,north,bachelor,170.6,582.1
674,32,M,west,master,169.7,838.2
675,40,M,west,master,169.0,1621.8
676,42,F,west,high_school,156.7,452.3
677,52,M,west,bachelor,176.3,433.4
678,24,M,central,high_school,172.4,452.9
679,31,F,west,master,159.6,
680,46,F,west,bachelor,151.7,291.5
681,41,F,west,vocational,152.6,153.4
682,49,F,north,high_school,170.6,165.0
683,26,F,west,vocational,157.2,194.2
684,47,F,east,bachelor,153.7,271.7
685,56,M,west,high_school,179.9,524.9
686,48,F,north,high_school,159.8,200.2
687,44,F,central,master,161.6,101.3
688,41,M,west,bachelor,170.1,297.3
689,31,M,central,high_school,169.0,261.0
690,41,M,west,high_school,169.9,279.6
691,58,F,north,phd,150.2,1626.2
692,40,M,central,bachelor,170.5,372.2
693,30,F,south,bachelor,159.9,675.9
694,36,F,south,high_school,168.9,335.3
695,45,M,west,high_school,171.5,397.6
696,37,M,west,high_school,156.5,234.4
697,48,M,central,bachelor,170.4,547.7
698,49,M,west,high_school,188.0,276.8
