product_id,category,price_yen,quality_score
P000108,beauty,3101,3.12
P000109,home,12207,3.57
P000110,fashion,7439,3.52
P000111,books,1550,3.87
P000112,fashion,7459,3.48
P000113,home,20041,4.54
P000114,books,3219,3.07
P000115,books,1034,2.78
P000116,fashion,6432,3.67
P000117,fashion,9959,4.28
P000118,home,11031,3.4
P000119,fashion,7103,2.96
P000120,beauty,2874,3.73
P000121,grocery,957,2.83
P000122,fashion,10999,4.01
P000123,grocery,1353,3.19
P000124,beauty,1910,3.83
P000125,beauty,4202,2.96
P000126,grocery,3168,3.01
P000127,electronics,36946,3.31
P000128,fashion,4478,3.33
P000129,home,7079,4.91
P000130,beauty,2758,3.26
P000131,sports,13201,2.88
P000132,books,1041,3.6
P000133,grocery,1233,3.54
P000134,sports,17832,4.16
P000135,fashion,8456,4.07
P000136,home,5076,4.26
P000137,grocery,459,2.98
P000138,beauty,1620,3.03
P000139,beauty,1868,3.83
P000140,fashion,18316,3.35
P000141,sports,15258,3.23
P000142,sports,14895,4.21
P000143,books,2349,2.97
P000144,grocery,760,3.54
P000145,books,1493,3.87
P000146,beauty,1634,3.67
P000147,home,11403,4.07
P000148,grocery,1368,3.47
P000149,sports,3590,3.78
P000150,beauty,2436,3.58
P000151,home,8833,3.23
P000152,books,2240,2.44
P000153,fashion,6894,3.69
P000154,home,9016,4.11
P000155,fashion,21494,3.43
P000156,grocery,1257,3.03
P000157,fashion,8535,2.72
P000158,fashion,7561,4.28
P000159,grocery,2704,4.02
P000160,electronics,72180,3.26
P000161,electronics,27348,4.15
P000162,beauty,4118,3.54
P000163,fashion,8317,3.08
P000164,electronics,44756,3.56
P000165,electronics,23969,3.37
P000166,fashion,6572,3.54
P000167,electronics,52628,4.17
P000168,books,2810,3.19
P000169,home,11179,3.97
P000170,grocery,1939,2.86
P000171,grocery,1911,2.57
P000172,electronics,73726,4.37
P000173,beauty,2211,3.75
P000174,books,2215,3.12
P000175,electronics,29705,4.47
P000176,electronics,28559,4.39
P000177,home,13109,2.75
P000178,electronics,53917,3.59
P000179,electronics,23574,4.12
P000180,home,11229,3.07
P000181,home,8547,3.86
P000182,fashion,2624,3.03
P000183,sports,24481,3.86
P000184,electronics,14514,4.22
P000185,fashion,12657,2.9
P000186,beauty,5314,3.75
P000187,home,5780,3.64
P000188,home,6497,3.47
P000189,beauty,3008,3.38
P000190,home,16074,4.19
P000191,sports,4295,3.78
P000192,home,7306,3.3
P000193,grocery,1077,3.59
P000194,beauty,2753,3.31
P000195,fashion,26053,3.41
P000196,beauty,3228,3.57
P000197,fashion,10159,3.23
P000198,grocery,2079,2.23
P000199,beauty,6610,3.51
P000200,home,4124,3.5
P000201,electronics,53780,3.79
P000202,grocery,767,3.87
P000203,sports,10037,4.42
P000204,books,1354,3.25
P000205,grocery,1947,3.25
P000206,electronics,38950,4.07
P000207,grocery,1042,2.56
P000208,grocery,582,2.77
P000209,electronics,38377,3.44
P000210,sports,15943,4.34
P000211,grocery,1614,2.46
P000212,grocery,2414,3.37
P000213,grocery,979,2.6
P000214,electronics,60486,3.72
P000215,grocery,2621,3.43
P000216,grocery,524,3.06
P000217,fashion,10505,2.97
P000218,home,19496,3.41
P000219,grocery,660,2.99
P000220,home,5296,3.93
P000221,sports,13641,3.79
P000222,grocery,1115,3.43
P000223,grocery,997,3.48
P000224,sports,5110,3.4
P000225,fashion,7055,3.48
P000226,grocery,860,3.72
P000227,sports,5691,4.22
P000228,home,9710,2.93
P000229,books,3206,3.52
P000230,grocery,1283,2.91
P000231,grocery,921,3.19
P000232,electronics,66699,4.17
P000233,fashion,14745,2.83
P000234,grocery,1003,2.91
P000235,fashion,7633,3.56
P000236,grocery,1379,3.27
P000237,fashion,9035,3.44
P000238,electronics,37524,4.68
P000239,grocery,859,2.85
P000240,home,12882,3.48
P000241,fashion,3298,2.38
P000242,beauty,1568,4.53
P000243,electronics,19140,4.52
P000244,electronics,26861,4.3
P000245,books,2514,3.58
P000246,books,1822,3.69
P000247,grocery,1138,3.01
P000248,grocery,869,3.01
P000249,sports,13068,3.36
P000250,grocery,657,3.33
P000251,electronics,63253,4.04
P000252,electronics,46208,3.97
P000253,electronics,28584,3.35
P000254,beauty,7572,3.43
P000255,home,9519,2.92
P000256,fashion,5830,3.26
P000257,fashion,9546,3.71
P000258,electronics,24254,3.62
P000259,beauty,5272,3.73
P000260,sports,14945,3.1
P000261,grocery,1758,3.2
P000262,beauty,3164,3.81
P000263,fashion,12847,3.02
P000264,home,2044,3.56
P000265,grocery,2819,3.43
P000266,electronics,64725,3.64
P000267,grocery,2043,3.15
P000268,sports,5661,4.02
P000269,electronics,35964,4.26
P000270,grocery,1416,2.94
P000271,sports,13922,4.35
P000272,beauty,5920,4.23
P000273,grocery,871,3.29
P000274,fashion,13044,3.73
P000275,sports,4431,3.62
P000276,electronics,71134,4.43
P000277,fashion,3273,3.69
P000278,electronics,77727,4.33
P000279,grocery,1040,2.79
P000280,home,12102,4.03
P000281,sports,15999,3.98
P000282,grocery,2036,3.46
P000283,books,1783,3.74
P000284,home,21622,4.03
P000285,home,15471,3.37
P000286,fashion,3460,3.04
P000287,fashion,10755,3.49
P000288,home,2546,3.94
P000289,beauty,2706,3.23
P000290,fashion,5173,3.87
P000291,grocery,383,3.07
P000292,fashion,12758,3.11
P000293,grocery,1001,3.29
P000294,fashion,3182,3.41
P000295,electronics,33740,4.53
P000296,fashion,7389,4.02
P000297,sports,6473,3.61
P000298,sports,11544,4.12
P000299,electronics,81648,4.03
P000300,electronics,46273,3.56
P000301,grocery,1732,3.3
P000302,fashion,7654,3.11
P000303,sports,10438,4.29
P000304,grocery,679,3.92
P000305,sports,22072,3.68
P000306,electronics,50658,3.98
P000307,books,2130,3.32
P000308,beauty,3712,4.2
P000309,beauty,2415,3.53
P000310,books,1564,4.35
P000311,grocery,1483,3.37
P000312,electronics,9075,3.67
P000313,grocery,1449,3.23
P000314,sports,12720,3.34
P000315,sports,7679,3.14
P000316,grocery,580,2.89
P000317,beauty,5289,4.73
P000318,fashion,10159,3.71
P000319,fashion,4424,3.01
P000320,home,35523,3.62
P000321,grocery,1253,3.56
P000322,fashion,2644,3.43
P000323,beauty,2215,3.76
P000324,grocery,881,3.08
P000325,grocery,1478,2.51
P000326,fashion,8570,3.7
P000327,fashion,10419,2.42
P000328,beauty,3116,3.05
P000329,sports,13649,4.22
P000330,fashion,13575,3.26
P000331,sports,39779,3.29
P000332,beauty,4555,3.51
P000333,sports,17150,3.97
P000334,home,4176,4.31
P000335,fashion,6404,3.69
P000336,beauty,5519,4.2
P000337,grocery,1677,3.11
P000338,fashion,11950,3.6
P000339,grocery,1465,3.29
P000340,grocery,1244,2.83
P000341,grocery,1386,3.15
P000342,sports,10616,4.15
P000343,grocery,667,3.17
P000344,fashion,10189,3.26
P000345,books,864,4.02
P000346,fashion,16142,3.0
P000347,electronics,21285,4.3
P000348,sports,6671,3.57
P000349,books,2523,3.26
P000350,beauty,2088,3.64
P000351,grocery,1182,3.17
P000352,home,4868,3.64
P000353,sports,7599,3.73
P000354,sports,16542,4.25
P000355,electronics,22109,3.84
P000356,sports,6465,3.44
P000357,home,15426,2.36
P000358,electronics,33603,3.96
P000359,electronics,45500,4.31
P000360,electronics,46822,3.67
P000361,books,2456,3.34
P000362,grocery,806,3.76
P000363,beauty,4734,3.57
P000364,electronics,51300,4.43
P000365,beauty,1920,3.92
P000366,grocery,2010,2.61
P000367,books,639,3.25
P000368,grocery,1689,4.12
P000369,beauty,1046,3.44
P000370,home,12579,4.1
P000371,grocery,1686,3.19
P000372,books,2265,3.56
P000373,grocery,2827,3.46
P000374,sports,11018,3.39
P000375,electronics,26003,3.39
P000376,home,9985,3.49
P000377,books,3968,2.96
P000378,sports,26062,3.69
P000379,grocery,1017,3.26
P000380,grocery,912,2.42
P000381,sports,12039,4.38
P000382,fashion,7566,3.78
P000383,books,1084,3.04
P000384,fashion,3012,3.35
P000385,electronics,68144,4.14
P000386,beauty,2169,3.51
P000387,grocery,1006,2.72
P000388,fashion,7515,3.75
P000389,fashion,8189,3.67
P000390,books,1742,2.42
P000391,home,6674,3.58
P000392,books,1658,3.22
P000393,fashion,10372,3.3
P000394,grocery,539,2.96
P000395,fashion,3357,3.98
P000396,grocery,560,3.65
P000397,electronics,149034,3.96
P000398,electronics,32797,4.37
P000399,grocery,1637,2.58
P000400,beauty,4939,3.17
P000401,grocery,597,2.81
P000402,grocery,701,3.27
P000403,grocery,1140,3.41
P000404,grocery,976,3.4
P000405,beauty,3180,4.38
P000406,sports,5757,4.52
P000407,sports,40634,3.76
P000408,fashion,6570,3.23
P000409,grocery,1869,2.76
P000410,sports,31670,3.48
P000411,books,3800,3.88
P000412,home,21681,3.85
P000413,grocery,1237,2.48
P000414,beauty,2423,3.05
P000415,books,2981,3.33
P000416,grocery,805,3.44
P000417,fashion,12573,4.04
P000418,sports,14859,4.28
P000419,beauty,3294,3.68
P000420,electronics,26393,3.38
P000421,fashion,7366,4.09
P000422,home,9271,3.06
P000423,beauty,3237,3.82
P000424,beauty,4422,3.59
P000425,electronics,25996,3.31
P000426,fashion,6593,3.97
P000427,beauty,1384,3.04
P000428,electronics,44589,4.34
P000429,grocery,1951,3.84
P000430,home,3598,3.73
P000431,fashion,22256,3.42
P000432,beauty,3034,3.15
P000433,electronics,29068,3.82
P000434,beauty,3414,3.84
P000435,home,20396,3.94
P000436,grocery,1728,3.04
P000437,sports,23650,3.05
P000438,fashion,4330,4.65
P000439,sports,9372,3.91
P000440,fashion,15369,3.57
P000441,books,1212,3.36
P000442,electronics,12509,3.96
P000443,home,10884,3.86
P000444,fashion,13678,3.61
P000445,grocery,593,2.68
P000446,electronics,15149,3.7
P000447,fashion,6891,3.49
P000448,electronics,85781,4.41
P000449,electronics,103020,4.13
P000450,beauty,1573,3.25
P000451,grocery,1361,3.01
P000452,electronics,128714,4.11
P000453,books,2100,3.53
P000454,home,18965,3.43
P000455,fashion,7660,2.99
P000456,grocery,839,3.38
P000457,grocery,828,3.1
P000458,home,13548,4.15
P000459,sports,16989,3.78
P000460,home,41850,3.25
P000461,books,5073,2.95
P000462,beauty,1562,2.67
P000463,books,1359,3.41
P000464,home,7839,3.42
P000465,home,9595,3.64
P000466,beauty,2647,3.77
P000467,beauty,3214,3.21
P000468,electronics,49209,3.47
P000469,electronics,20990,4.23
P000470,fashion,7645,4.08
P000471,fashion,8621,3.24
P000472,books,1791,3.8
P000473,beauty,3220,3.88
P000474,electronics,30909,3.55
P000475,grocery,3056,3.83
P000476,fashion,5624,3.91
P000477,sports,8532,4.38
P000478,books,2268,3.54
P000479,fashion,6163,4.02
P000480,grocery,1277,3.62
P000481,books,1368,3.84
P000482,home,14844,3.83
P000483,sports,4878,4.43
P000484,fashion,6416,3.77
P000485,fashion,6529,3.19
P000486,beauty,2396,3.51
P000487,electronics,14786,3.7
P000488,sports,52094,3.38
P000489,beauty,2346,3.49
P000490,fashion,6575,3.35
P000491,grocery,1076,3.28
P000492,beauty,2606,3.62
P000493,books,3980,3.97
P000494,fashion,2274,2.3
P000495,beauty,3737,3.09
P000496,fashion,8230,3.45
P000497,books,1455,3.7
P000498,beauty,6113,3.23
P000499,electronics,14393,3.39
P000500,beauty,1009,3.48
P000501,beauty,4424,3.09
P000502,beauty,3020,3.92
P000503,fashion,5836,3.86
P000504,beauty,4206,3.46
P000505,sports,4730,3.88
P000506,fashion,2794,3.39
P000507,fashion,6434,3.23
P000508,sports,13150,3.54
P000509,home,7869,3.55
P000510,grocery,1252,2.32
P000511,sports,13058,3.67
P000512,electronics,50217,3.93
P000513,sports,14992,4.08
P000514,grocery,1858,2.89
P000515,electronics,61251,4.48
P000516,books,963,3.08
P000517,beauty,5928,2.95
P000518,fashion,6326,3.37
P000519,books,1421,3.25
P000520,books,2415,4.27
P000521,sports,10424,3.65
P000522,electronics,165427,4.1
P000523,fashion,15729,4.05
P000524,beauty,2161,3.35
P000525,books,1257,3.54
P000526,fashion,5798,3.48
P000527,grocery,845,2.95
P000528,electronics,39627,3.8
P000529,grocery,920,2.86
P000530,home,15626,4.25
P000531,electronics,16235,4.05
P000532,home,1528,3.83
P000533,home,9081,3.73
P000534,grocery,1666,3.29
P000535,sports,10489,3.89
P000536,electronics,38564,4.05
P000537,electronics,34465,4.03
P000538,grocery,562,3.3
P000539,grocery,1969,2.45
P000540,fashion,11262,4.34
P000541,books,2062,3.48
P000542,fashion,16688,3.24
P000543,fashion,5522,3.6
P000544,sports,11953,4.23
P000545,books,2319,3.01
P000546,grocery,538,3.56
P000547,electronics,29779,4.08
P000548,fashion,7599,3.3
P000549,fashion,20184,4.43
P000550,grocery,1061,3.21
P000551,beauty,5229,3.65
P000552,grocery,540,3.36
P000553,grocery,708,3.54
P000554,beauty,1667,3.4
P000555,fashion,8847,3.58
P000556,fashion,9580,4.46
P000557,sports,14670,4.48
P000558,electronics,53426,3.53
P000559,electronics,17949,4.05
P000560,electronics,46025,3.21
P000561,home,8912,3.82
P000562,home,8714,4.03
P000563,grocery,2296,2.85
P000564,grocery,2023,3.77
P000565,grocery,2134,3.14
P000566,fashion,6235,3.31
P000567,sports,10988,3.93
P000568,books,1045,3.36
P000569,home,5516,3.81
P000570,grocery,581,3.88
P000571,beauty,3420,3.78
P000572,fashion,11382,4.19
P000573,fashion,7632,3.55
P000574,books,1397,3.72
P000575,fashion,2848,3.88
P000576,electronics,66272,4.26
P000577,home,16661,2.89
P000578,home,6949,4.19
P000579,home,10756,3.75
P000580,fashion,6416,2.95
P000581,beauty,2821,3.86
P000582,fashion,4069,3.66
P000583,books,2106,3.41
P000584,fashion,8297,3.02
P000585,electronics,113464,3.5
P000586,home,9284,4.01
P000587,fashion,4711,3.62
P000588,home,12955,3.52
P000589,fashion,10146,2.82
P000590,grocery,709,2.8
P000591,fashion,7994,3.46
P000592,grocery,1422,3.85
P000593,electronics,52192,4.53
P000594,fashion,3926,3.99
P000595,fashion,5949,3.75
P000596,sports,10558,3.85
P000597,beauty,3278,4.68
P000598,fashion,10973,2.94
P000599,electronics,87169,2.9
P000600,electronics,30782,4.75
P000601,fashion,14666,2.65
P000602,grocery,1716,2.79
P000603,grocery,805,4.35
P000604,books,2469,3.17
P000605,beauty,1913,4.12
P000606,electronics,33942,3.26
P000607,electronics,107895,3.46
P000608,electronics,16080,4.13
P000609,electronics,31673,4.28
P000610,grocery,898,2.77
P000611,electronics,92535,3.87
P000612,electronics,36230,4.4
P000613,electronics,34389,3.64
P000614,home,23069,2.88
P000615,electronics,34881,3.82
P000616,books,1412,3.27
P000617,grocery,682,3.68
P000618,fashion,4748,3.72
P000619,grocery,2750,3.04
P000620,grocery,946,3.52
P000621,grocery,1219,3.18
P000622,grocery,1251,2.71
P000623,fashion,4265,4.21
P000624,fashion,22809,3.07
P000625,electronics,45589,3.86
P000626,home,10722,2.67
P000627,home,16006,3.28
P000628,home,10393,3.93
P000629,books,1927,3.94
P000630,grocery,2086,1.94
P000631,sports,4979,3.3
P000632,grocery,745,4.33
P000633,grocery,2152,3.23
P000634,home,6942,4.28
P000635,fashion,7758,4.44
P000636,fashion,8202,3.5
P000637,grocery,633,1.88
P000638,electronics,89831,3.76
P000639,fashion,5194,2.62
P000640,beauty,4016,2.86
P000641,grocery,2149,3.34
P000642,electronics,80209,3.13
P000643,electronics,42338,3.99
P000644,books,1584,3.7
P000645,books,2498,3.64
P000646,home,8702,3.84
P000647,fashion,8780,2.8
P000648,grocery,509,3.51
P000649,fashion,20034,3.85
P000650,beauty,7301,3.44
P000651,grocery,1139,2.88
P000652,beauty,1931,3.48
P000653,grocery,2705,2.88
P000654,sports,36822,4.51
P000655,grocery,1701,3.19
P000656,grocery,1481,3.74
P000657,grocery,710,3.24
P000658,home,7968,3.23
P000659,sports,15170,4.02
P000660,grocery,831,3.86
P000661,books,2274,3.6
P000662,grocery,2350,3.71
P000663,fashion,8971,3.56
P000664,fashion,14011,4.17
P000665,electronics,90228,3.95
P000666,sports,12469,3.86
P000667,electronics,53353,4.49
P000668,fashion,7925,2.96
P000669,fashion,4437,3.55
P000670,beauty,3532,3.86
P000671,books,1522,2.87
P000672,sports,7563,3.84
P000673,fashion,5357,3.5
P000674,grocery,1520,3.1
P000675,fashion,4218,3.44
P000676,books,2232,3.52
P000677,electronics,76635,3.42
P000678,books,1495,3.88
P000679,sports,6024,3.96
P000680,beauty,4994,3.18
P000681,beauty,2742,3.36
P000682,fashion,8793,3.33
P000683,fashion,15291,3.34
P000684,grocery,1873,2.49
P000685,fashion,8522,3.58
P000686,beauty,6492,3.04
P000687,grocery,1245,3.1
P000688,sports,18428,4.15
P000689,sports,9994,4.2
P000690,electronics,20446,3.71
P000691,fashion,6585,3.64
P000692,grocery,1042,3.44
P000693,electronics,141834,4.54
P000694,beauty,2559,3.33
P000695,beauty,3012,3.35
P000696,beauty,1909,3.46
P000697,grocery,1761,3.23
P000698,sports,15967,4.52
P000699,home,13512,3.35
P000700,books,2211,3.28
P000701,sports,4887,3.91
P000702,beauty,3418,3.07
P000703,electronics,49000,4.13
P000704,sports,27827,4.59
P000705,fashion,5052,3.61
P000706,grocery,1366,3.49
P000707,grocery,1102,3.59
P000708,fashion,9484,4.04
P000709,electronics,6134,4.25
P000710,fashion,3948,2.96
P000711,sports,18892,4.28
P000712,home,10149,4.31
P000713,books,2225,3.84
P000714,sports,10478,3.77
P000715,grocery,592,3.44
P000716,beauty,3205,4.04
P000717,home,5806,3.11
P000718,fashion,4180,2.68
P000719,books,5232,3.65
P000720,books,1547,3.77
P000721,electronics,134201,4.2
P000722,sports,14563,3.05
P000723,electronics,42149,4.21
P000724,books,1689,3.42
P000725,home,8279,4.65
P000726,fashion,12797,3.96
P000727,sports,17159,3.84
P000728,grocery,1933,3.08
P000729,electronics,31843,4.82
P000730,beauty,4454,3.81
P000731,beauty,2299,2.95
P000732,grocery,1495,3.43
P000733,beauty,2245,3.61
P000734,electronics,27486,4.04
P000735,fashion,6695,3.08
P000736,home,3689,4.54
P000737,fashion,6623,3.33
P000738,grocery,886,4.21
P000739,books,1345,3.8
P000740,sports,4932,4.5
P000741,home,8473,4.66
P000742,home,9508,3.87
P000743,sports,30102,3.45
P000744,sports,14700,3.84
P000745,electronics,57130,3.54
P000746,grocery,2164,2.53
P000747,fashion,7107,3.22
P000748,electronics,22551,4.29
P000749,fashion,11627,3.21
P000750,home,29152,3.55
P000751,beauty,4070,2.9
P000752,books,1131,2.74
P000753,grocery,1356,3.42
P000754,grocery,1369,4.02
P000755,electronics,28046,3.75
P000756,fashion,8543,2.84
P000757,electronics,28521,3.95
P000758,books,1466,3.41
P000759,electronics,34230,4.17
P000760,beauty,6617,4.2
P000761,fashion,5183,3.24
P000762,grocery,1867,2.67
P000763,sports,7210,3.87
P000764,books,2428,3.72
P000765,fashion,5287,3.79
P000766,books,2508,3.53
P000767,fashion,7006,3.5
P000768,sports,5697,4.22
P000769,electronics,29283,3.63
P000770,grocery,1676,3.65
P000771,beauty,4438,4.33
P000772,sports,19889,3.63
P000773,sports,12486,3.41
P000774,fashion,9211,3.73
P000775,sports,14694,4.06
P000776,fashion,7649,3.28
P000777,fashion,7284,3.91
P000778,electronics,76297,3.77
P000779,fashion,8001,3.27
P000780,electronics,50775,4.21
P000781,home,21919,3.86
P000782,electronics,55301,3.75
P000783,home,5004,4.11
P000784,electronics,64399,4.44
P000785,beauty,8363,3.57
P000786,fashion,7646,2.55
P000787,fashion,5078,3.64
P000788,home,10766,3.41
P000789,books,2056,3.89
P000790,books,1576,3.33
P000791,fashion,14339,3.85
P000792,books,1442,3.15
P000793,home,10884,3.2
P000794,books,1191,2.66
P000795,electronics,39350,3.56
P000796,electronics,20562,3.55
P000797,electronics,148605,4.86
P000798,sports,11177,3.47
P000799,electronics,80394,3.31
P000800,fashion,5983,3.25
