customer_id,age,region,income_man,price_sens,quality_pref,digital_pref
C000053,24,west,293.2,0.789,0.488,0.84
C000054,37,east,1130.3,0.479,0.848,0.644
C000055,35,east,406.4,0.331,0.226,0.596
C000056,33,west,702.0,0.576,0.54,0.824
C000057,38,north,104.0,0.982,0.083,0.498
C000058,59,south,646.9,0.754,0.469,0.293
C000059,31,central,417.6,0.551,0.467,0.888
C000060,53,west,344.6,0.351,0.189,0.827
C000061,21,central,512.8,0.459,0.296,0.544
C000062,37,north,341.6,0.525,0.336,0.548
C000063,43,north,128.6,0.995,0.164,0.738
C000064,48,south,800.0,0.112,0.382,0.478
C000065,50,south,532.2,0.533,0.588,0.599
C000066,51,central,381.0,0.881,0.34,0.629
C000067,37,north,257.6,0.747,0.261,0.459
C000068,35,south,190.4,0.941,0.306,0.669
C000069,51,east,526.1,0.357,0.448,0.472
C000070,39,east,1211.1,0.196,0.759,0.314
C000071,26,east,519.6,0.821,0.325,0.45
C000072,27,central,200.7,0.811,0.065,0.511
C000073,30,north,526.5,0.618,0.421,0.806
C000074,47,central,445.5,0.468,0.443,0.693
C000075,43,west,772.5,0.541,0.358,0.679
C000076,49,south,662.0,0.385,0.305,0.575
C000077,36,south,76.7,1.0,0.109,0.661
C000078,43,central,638.0,0.973,0.392,0.585
C000079,49,east,251.9,0.823,0.102,0.569
C000080,37,north,196.0,0.705,0.415,0.666
C000081,46,west,410.8,0.272,0.323,0.227
C000082,33,east,588.6,0.328,0.662,0.441
C000083,37,north,171.9,1.0,0.248,0.365
C000084,36,east,702.0,0.391,0.569,0.799
C000085,27,east,727.2,0.483,0.5,0.972
C000086,47,north,473.1,0.722,0.048,0.067
C000087,35,north,273.3,0.956,0.166,0.898
C000088,41,central,255.6,0.717,0.304,0.56
C000089,47,east,851.3,0.446,0.618,0.704
C000090,46,central,185.8,0.822,0.0,0.609
C000091,49,central,871.2,0.408,0.56,0.775
C000092,40,north,416.6,0.563,0.252,0.592
C000093,36,south,434.3,0.703,0.464,0.305
C000094,40,west,165.1,0.862,0.232,0.529
C000095,21,south,421.2,0.967,0.534,0.786
C000096,24,north,664.7,0.622,0.674,0.619
C000097,25,east,206.3,0.963,0.349,0.787
C000098,29,north,620.4,0.409,0.629,0.614
C000099,46,west,485.2,0.698,0.398,0.389
C000100,30,central,312.6,0.599,0.787,0.403
C000101,36,south,768.2,0.587,0.36,0.5
C000102,57,south,122.7,0.997,0.097,0.472
C000103,37,central,566.4,0.596,0.617,0.179
C000104,50,south,1215.5,0.797,0.747,0.324
C000105,30,north,1091.4,0.671,0.686,0.221
C000106,39,central,581.2,0.76,0.588,0.434
C000107,30,east,383.8,0.781,0.092,0.859
C000108,37,north,314.1,0.971,0.602,0.334
C000109,51,west,383.6,0.451,0.373,0.614
C000110,20,central,637.5,0.77,0.692,1.0
C000111,46,east,283.4,0.578,0.038,0.799
C000112,44,west,724.6,0.454,0.57,0.549
C000113,34,east,1654.3,0.458,0.612,0.764
C000114,24,north,443.2,0.822,0.519,0.388
C000115,42,north,205.3,0.618,0.327,0.221
C000116,35,south,205.3,0.714,0.334,0.591
C000117,44,central,733.0,0.551,0.375,0.602
C000118,41,north,443.8,0.609,0.425,0.762
C000119,60,east,778.5,0.653,0.518,0.296
C000120,38,east,334.0,1.0,0.451,0.603
C000121,29,north,757.2,0.593,0.688,0.659
C000122,43,west,418.3,0.538,0.444,0.503
C000123,44,south,296.4,0.523,0.161,0.508
C000124,57,south,361.6,0.629,0.408,0.26
C000125,51,east,224.3,0.632,0.688,0.529
C000126,45,west,1517.5,0.461,0.926,0.554
C000127,59,north,434.2,0.709,0.0,0.329
C000128,27,north,677.2,0.483,0.527,0.774
C000129,33,central,333.3,0.992,0.516,0.805
C000130,30,south,244.7,0.646,0.287,0.755
C000131,36,central,399.8,0.64,0.343,0.37
C000132,24,central,890.6,0.594,0.532,0.682
C000133,49,south,336.6,0.826,0.461,0.305
C000134,38,central,272.8,0.926,0.164,0.583
C000135,23,east,505.0,0.675,0.637,0.487
C000136,29,north,620.6,0.728,0.492,0.882
C000137,45,north,1232.7,0.333,0.497,0.672
C000138,51,north,568.8,0.725,0.651,0.704
C000139,65,north,677.0,0.688,0.286,0.585
C000140,76,east,708.2,0.77,0.443,0.244
C000141,46,south,230.3,0.518,0.216,0.423
C000142,29,south,258.1,0.609,0.646,0.975
C000143,18,west,240.1,0.883,0.207,0.671
C000144,44,north,206.8,0.392,0.0,0.251
C000145,31,south,741.4,0.608,0.448,0.814
C000146,36,east,547.4,0.754,0.543,0.607
C000147,34,north,482.5,0.534,0.567,0.893
C000148,39,east,97.1,0.876,0.471,0.606
C000149,54,east,1578.9,0.222,0.898,0.448
C000150,43,east,269.0,0.659,0.361,0.834
C000151,39,central,,0.31,0.553,0.249
C000152,29,south,192.8,0.701,0.51,0.51
C000153,21,south,282.5,0.617,0.288,0.506
C000154,35,north,122.7,0.853,0.077,0.146
C000155,40,south,571.6,0.544,0.421,0.725
C000156,62,south,237.6,1.0,0.12,0.285
C000157,43,east,241.6,0.699,0.242,0.71
C000158,53,south,201.9,0.846,0.241,0.537
C000159,35,west,733.4,0.45,0.643,0.706
C000160,27,west,704.9,0.456,0.467,0.55
C000161,29,north,1364.4,0.157,0.468,0.474
C000162,32,west,304.8,0.476,0.117,0.624
C000163,67,north,524.5,0.422,0.498,0.545
C000164,31,north,212.2,0.812,0.296,0.603
C000165,51,north,376.2,0.831,0.317,0.333
C000166,30,central,336.9,0.424,0.308,0.38
C000167,52,east,607.8,0.492,0.554,0.507
C000168,46,east,846.8,0.303,0.771,0.397
C000169,39,east,833.7,0.471,0.442,0.543
C000170,41,central,277.4,0.892,0.352,0.495
C000171,33,west,837.4,0.443,0.704,0.51
C000172,46,central,448.0,0.628,0.319,0.567
C000173,36,east,378.6,0.887,0.399,0.689
C000174,26,north,300.7,0.783,0.35,1.0
C000175,26,west,328.7,0.583,0.176,0.8
C000176,43,east,1308.5,0.445,0.675,0.848
C000177,60,south,553.2,0.469,0.482,0.246
C000178,43,central,510.8,0.672,0.544,0.209
C000179,40,west,393.0,0.738,0.231,0.547
C000180,44,central,1995.8,0.131,0.735,0.694
C000181,57,west,1006.5,0.499,0.804,0.571
C000182,44,east,298.4,0.699,0.665,0.764
C000183,36,west,390.4,0.744,0.599,0.071
C000184,54,north,404.5,0.78,0.238,0.703
C000185,46,south,,0.684,0.525,0.575
C000186,59,north,302.0,0.668,0.284,0.108
C000187,43,east,598.6,0.717,0.535,0.674
C000188,26,west,1099.4,0.325,0.499,0.682
C000189,25,north,209.1,0.589,0.026,0.731
C000190,61,north,233.8,0.286,0.253,0.603
C000191,62,south,344.2,0.677,0.491,0.482
C000192,39,north,353.9,0.559,0.431,0.262
C000193,36,west,1525.8,0.45,0.74,0.549
C000194,59,east,839.0,0.214,0.593,0.093
C000195,28,east,810.6,0.419,0.614,0.764
C000196,30,east,392.5,0.732,0.488,0.9
C000197,49,south,387.4,0.51,0.365,0.239
C000198,36,central,192.5,0.865,0.279,0.444
C000199,41,north,735.3,0.452,0.796,0.367
C000200,39,central,617.6,0.566,0.52,0.466
C000201,45,west,995.1,0.565,0.601,0.597
C000202,58,south,405.3,0.798,0.43,0.335
C000203,42,south,422.5,0.661,0.391,0.667
C000204,49,south,509.4,0.487,0.395,0.7
C000205,18,central,785.5,0.454,0.579,0.924
C000206,40,west,190.4,0.902,0.188,0.326
C000207,31,west,715.4,0.388,0.507,0.89
C000208,26,east,454.4,0.605,0.319,0.941
C000209,30,north,243.7,0.699,0.329,0.931
C000210,37,south,131.7,0.864,0.278,0.539
C000211,52,north,,0.495,0.392,0.316
C000212,25,east,1096.5,0.178,0.313,0.458
C000213,41,north,1256.4,0.507,0.73,0.323
C000214,35,east,569.3,0.732,0.501,0.587
C000215,37,west,1492.8,0.126,0.527,0.741
C000216,53,west,448.3,0.69,0.551,0.72
C000217,47,west,815.0,0.678,0.345,0.404
C000218,57,north,350.9,0.773,0.543,0.423
C000219,39,west,337.8,0.629,0.37,0.536
C000220,33,east,306.3,0.569,0.019,0.472
C000221,38,south,133.6,0.889,0.22,0.711
C000222,44,west,995.7,0.512,0.534,0.595
C000223,43,west,313.0,0.721,0.28,0.557
C000224,28,west,284.4,0.699,0.233,0.706
C000225,42,central,226.6,0.609,0.28,0.659
C000226,44,south,406.9,0.718,0.343,0.643
C000227,71,west,,0.489,0.373,0.165
C000228,64,west,1615.7,0.409,0.882,0.561
C000229,31,north,169.8,0.846,0.204,0.664
C000230,38,central,371.9,0.924,0.288,0.477
C000231,23,east,247.3,0.66,0.147,0.716
C000232,34,east,832.3,0.703,0.674,0.661
C000233,45,central,546.3,0.485,0.28,0.731
C000234,55,south,314.0,0.872,0.384,0.236
C000235,32,north,480.5,0.806,0.361,0.871
C000236,33,north,345.4,0.643,0.304,0.604
C000237,18,north,1211.7,0.685,0.468,0.603
C000238,39,west,,0.634,0.413,0.45
C000239,28,north,687.5,0.418,0.522,0.434
C000240,35,central,92.9,0.894,0.156,0.237
C000241,30,central,441.9,0.808,0.314,0.755
C000242,40,west,1605.4,0.518,0.677,0.946
C000243,20,west,1019.3,0.312,0.733,0.366
C000244,23,east,151.9,0.83,0.0,0.479
C000245,67,north,381.1,0.698,0.402,0.511
C000246,26,south,223.7,0.698,0.154,0.639
C000247,28,north,1284.2,0.778,0.488,0.801
C000248,63,north,532.6,0.635,0.509,0.369
C000249,76,east,290.2,0.713,0.266,0.182
C000250,27,north,469.5,0.804,0.262,0.596
C000251,37,west,96.2,0.888,0.326,0.095
C000252,45,south,239.9,0.911,0.448,0.286
C000253,62,south,470.2,0.375,0.155,0.586
C000254,29,west,764.0,0.46,0.321,0.865
C000255,38,central,143.5,1.0,0.296,0.845
C000256,50,east,366.0,0.911,0.352,0.568
C000257,46,central,843.1,0.393,0.786,0.057
C000258,36,west,192.5,0.67,0.359,0.451
C000259,39,east,527.8,0.687,0.513,0.822
C000260,25,central,478.6,0.528,0.295,0.98
C000261,38,east,1286.7,0.384,0.72,0.837
C000262,38,north,400.7,0.789,0.221,0.517
C000263,44,east,415.0,0.569,0.615,0.261
C000264,34,east,768.3,0.232,0.606,0.584
C000265,47,east,207.6,0.594,0.157,0.504
C000266,53,west,402.9,0.658,0.534,0.772
C000267,43,central,350.0,0.405,0.722,0.575
C000268,45,east,423.2,0.602,0.391,0.518
C000269,42,west,765.3,0.319,0.625,0.551
C000270,41,east,641.4,0.809,0.442,0.623
C000271,32,central,293.5,1.0,0.363,0.731
C000272,45,north,499.3,0.455,0.231,0.37
C000273,40,north,1124.9,0.489,0.619,0.338
C000274,66,west,279.3,0.585,0.347,0.642
C000275,60,south,501.9,0.566,0.728,0.082
C000276,46,south,409.7,0.923,0.148,0.836
C000277,32,west,442.9,0.567,0.391,0.224
C000278,28,south,172.9,0.782,0.438,0.517
C000279,55,east,1072.4,0.319,0.573,0.639
C000280,44,north,289.1,0.895,0.322,0.522
C000281,47,north,851.4,0.017,0.438,0.238
C000282,20,north,316.8,0.638,0.226,0.775
C000283,52,east,316.1,0.698,0.091,0.479
C000284,46,west,952.5,0.385,0.491,0.465
C000285,28,east,835.1,0.64,0.411,0.509
C000286,35,west,521.4,0.785,0.483,0.578
C000287,44,west,726.3,0.327,0.413,0.406
C000288,42,south,386.9,0.978,0.334,1.0
C000289,37,south,457.7,0.417,0.371,0.523
C000290,40,east,309.3,0.902,0.354,0.475
C000291,38,east,791.3,0.544,0.469,0.456
C000292,43,west,303.4,0.637,0.198,0.884
C000293,59,west,1121.4,0.39,0.631,0.089
C000294,18,east,380.6,0.663,0.563,0.776
C000295,38,east,465.7,0.659,0.462,0.516
C000296,43,south,725.2,0.401,0.44,0.244
C000297,45,south,466.6,0.592,0.425,0.351
C000298,37,north,384.7,0.55,0.097,0.634
C000299,20,west,451.8,0.451,0.416,0.517
C000300,45,central,786.4,0.4,0.487,0.567
C000301,62,north,309.1,0.537,0.221,0.742
C000302,23,central,426.4,0.582,0.312,0.703
C000303,51,north,462.8,0.693,0.38,0.182
C000304,37,west,772.8,0.544,0.693,0.402
C000305,40,west,433.3,0.938,0.592,0.493
C000306,28,north,1361.3,0.081,0.518,0.564
C000307,37,central,418.8,0.719,0.344,0.601
C000308,57,west,398.9,0.659,0.338,0.493
C000309,48,central,415.1,0.773,0.541,0.84
C000310,62,east,208.8,0.895,0.304,0.395
C000311,55,central,247.0,0.729,0.33,0.215
C000312,46,central,334.6,0.719,0.457,0.739
C000313,62,west,909.3,0.382,0.487,0.649
C000314,46,east,450.9,0.726,0.641,0.554
C000315,51,south,343.9,0.406,0.382,0.424
C000316,37,west,960.2,0.599,0.459,0.696
C000317,42,central,1166.7,0.44,0.592,0.494
C000318,33,west,977.0,0.406,0.776,0.188
C000319,53,east,275.7,0.697,0.274,0.572
C000320,27,north,341.7,0.665,0.523,0.819
C000321,50,south,1365.8,0.607,0.564,0.768
C000322,39,central,531.6,1.0,0.354,0.411
C000323,55,north,391.8,0.845,0.507,0.49
C000324,50,south,707.9,0.459,0.395,0.53
C000325,63,central,841.9,0.603,0.684,0.406
C000326,50,north,326.5,0.799,0.424,0.503
C000327,22,north,524.7,0.465,0.336,0.683
C000328,40,south,802.0,0.329,0.541,0.592
C000329,27,south,229.3,0.759,0.219,0.789
C000330,35,north,463.4,0.749,0.494,0.829
C000331,59,central,235.7,0.522,0.59,0.266
C000332,49,west,255.0,0.64,0.267,0.453
C000333,33,central,328.1,0.783,0.453,0.514
C000334,29,central,612.5,0.579,0.501,0.514
C000335,41,central,379.2,0.881,0.405,0.22
C000336,26,west,311.7,0.496,0.338,0.653
C000337,33,east,474.5,0.976,0.318,0.695
C000338,45,west,231.1,0.537,0.353,0.484
C000339,55,north,595.0,0.274,0.448,0.443
C000340,48,south,906.9,0.485,0.44,0.578
C000341,18,north,438.7,0.469,0.583,0.986
C000342,45,west,407.3,0.648,0.431,0.431
C000343,42,north,575.5,0.574,0.451,0.302
C000344,46,east,136.2,0.844,0.398,0.49
C000345,60,east,634.8,0.439,0.229,0.787
C000346,18,west,2958.3,0.323,1.0,0.472
C000347,34,south,427.4,0.597,0.294,0.722
C000348,48,north,428.3,0.81,0.458,0.726
C000349,22,central,718.7,0.513,0.441,0.203
C000350,59,central,1234.5,0.288,0.499,0.499
C000351,45,east,825.7,0.26,0.754,0.636
C000352,51,south,126.2,0.863,0.46,0.42
C000353,34,east,645.0,0.372,0.475,0.463
C000354,51,north,2152.5,0.119,0.799,0.355
C000355,54,west,668.3,0.634,0.523,0.386
C000356,44,north,230.1,0.502,0.561,0.462
C000357,44,central,,0.808,0.157,0.424
C000358,44,central,213.3,0.807,0.343,0.453
C000359,31,central,963.8,0.475,0.479,0.851
C000360,39,west,259.2,0.589,0.0,0.314
C000361,39,west,481.0,0.735,0.395,0.207
C000362,46,central,274.9,0.732,0.615,0.749
C000363,53,east,331.4,0.592,0.276,0.421
C000364,28,north,1122.1,0.481,0.737,0.556
C000365,39,west,489.5,0.365,0.632,0.535
C000366,59,east,328.9,0.452,0.371,0.459
C000367,32,east,231.4,0.599,0.321,0.501
C000368,31,north,149.6,0.907,0.0,0.714
C000369,43,west,217.1,0.779,0.183,0.337
C000370,51,east,492.0,0.774,0.59,0.413
C000371,41,east,828.3,0.374,0.567,0.1
C000372,57,north,328.7,0.783,0.428,0.665
C000373,51,east,1180.3,0.424,0.649,0.438
C000374,51,central,299.1,0.574,0.683,0.607
C000375,48,east,398.8,0.716,0.347,0.589
C000376,69,south,240.7,0.749,0.552,0.457
C000377,39,south,833.5,0.417,0.579,0.555
C000378,18,east,1619.3,0.384,0.946,0.782
C000379,60,central,159.8,0.822,0.045,0.218
C000380,36,south,373.7,0.648,0.426,0.344
C000381,42,west,982.5,0.416,0.533,0.516
C000382,57,north,193.1,0.608,0.288,0.295
C000383,22,north,646.3,0.573,0.692,0.961
C000384,26,central,957.3,0.363,0.644,0.723
C000385,22,south,482.1,0.467,0.633,0.533
C000386,31,central,639.9,0.528,0.406,0.559
C000387,46,central,1323.1,0.529,0.528,0.535
C000388,47,north,1480.7,0.424,0.676,0.487
C000389,44,south,443.2,0.557,0.427,0.576
C000390,24,west,334.2,0.608,0.349,0.676
C000391,18,south,264.9,0.835,0.186,0.426
C000392,42,north,826.7,0.153,0.737,0.106
C000393,35,east,202.0,0.914,0.221,0.51
C000394,47,south,395.3,0.379,0.624,0.613
C000395,49,south,489.2,0.405,0.454,0.415
C000396,43,west,340.2,0.613,0.477,0.776
C000397,50,east,544.1,0.922,0.557,0.471
C000398,44,east,2142.9,0.574,0.624,0.793
C000399,47,central,427.6,0.75,0.481,0.731
C000400,33,west,354.2,0.735,0.677,0.809
C000401,39,west,845.9,0.229,0.6,0.316
C000402,43,west,531.1,0.625,0.604,0.532
C000403,51,east,1091.0,0.375,0.717,0.718
C000404,36,west,507.8,0.487,0.506,0.632
C000405,47,west,396.3,0.683,0.438,0.612
C000406,38,central,157.7,0.773,0.308,0.286
C000407,40,central,174.1,0.954,0.36,0.934
C000408,51,central,152.9,0.56,0.017,0.315
C000409,18,west,,0.595,0.523,0.305
C000410,25,west,203.1,0.661,0.249,0.585
C000411,23,south,977.1,0.418,0.532,0.18
C000412,18,central,468.4,0.672,0.638,0.487
C000413,33,west,397.3,0.491,0.301,1.0
C000414,50,south,277.2,0.756,0.13,0.404
C000415,38,south,668.2,0.523,0.634,0.278
C000416,43,south,283.9,0.627,0.131,0.534
C000417,54,south,254.7,0.677,0.033,0.272
C000418,57,east,938.5,0.464,0.719,0.604
C000419,40,west,569.1,0.472,0.507,0.372
C000420,57,west,399.5,0.659,0.483,0.485
C000421,42,north,675.9,0.511,0.451,0.307
C000422,31,central,462.5,0.537,0.234,1.0
C000423,34,west,578.8,0.822,0.308,0.693
C000424,23,north,281.8,0.79,0.301,0.64
C000425,30,central,1593.1,0.324,0.498,0.561
C000426,37,south,324.9,0.721,0.417,0.46
C000427,51,south,1170.1,0.289,0.558,0.321
C000428,62,east,410.7,0.587,0.445,0.238
C000429,24,central,746.6,0.485,0.56,0.998
C000430,46,east,714.6,0.355,0.586,0.397
C000431,29,west,915.4,0.55,0.653,0.201
C000432,47,north,277.8,0.655,0.288,0.268
C000433,39,south,877.1,0.447,0.597,0.743
C000434,19,south,1392.8,0.323,0.697,0.647
C000435,52,west,393.9,1.0,0.045,0.439
C000436,34,west,469.7,0.526,0.541,0.826
C000437,35,south,336.0,0.382,0.4,0.43
C000438,28,south,373.7,0.431,0.483,0.76
C000439,33,east,1284.4,0.538,0.453,0.465
C000440,46,central,251.8,0.951,0.272,0.623
C000441,39,south,261.4,0.64,0.164,0.479
C000442,45,central,1209.3,0.628,0.745,0.467
C000443,45,central,669.1,0.666,0.304,0.679
C000444,57,central,1641.6,0.347,0.555,0.581
C000445,37,south,351.1,0.645,0.466,0.538
C000446,23,west,496.2,0.642,0.361,0.575
C000447,54,east,309.5,0.841,0.222,0.772
C000448,37,west,501.3,0.672,0.593,0.689
C000449,54,south,158.7,0.741,0.37,0.374
C000450,46,west,693.8,0.521,0.631,0.377
C000451,39,central,558.5,0.888,0.606,0.762
C000452,45,north,444.4,0.674,0.399,0.538
C000453,64,east,363.9,0.807,0.363,0.349
C000454,66,west,268.9,0.818,0.236,0.391
C000455,42,west,711.8,0.583,0.553,0.604
C000456,43,north,227.8,0.787,0.221,0.518
C000457,54,north,625.4,0.703,0.437,0.693
C000458,31,central,1597.0,0.489,0.779,0.865
C000459,45,west,1121.6,0.491,0.796,0.621
C000460,41,north,186.4,0.706,0.319,0.818
C000461,45,north,333.3,0.752,0.645,0.517
C000462,31,west,592.3,0.569,0.385,0.751
C000463,22,north,441.0,0.592,0.156,0.877
C000464,18,south,198.7,1.0,0.38,0.908
C000465,28,south,579.6,0.353,0.371,0.817
C000466,35,east,457.2,0.775,0.398,0.711
C000467,37,west,1450.7,0.271,0.404,0.962
C000468,64,north,395.2,0.68,0.275,0.274
C000469,54,east,927.1,0.875,0.355,0.421
C000470,29,central,215.1,0.637,0.223,0.584
C000471,45,west,248.2,0.644,0.258,0.441
C000472,36,central,709.3,0.541,0.54,0.18
C000473,38,east,881.4,0.373,0.756,0.839
C000474,43,east,259.0,0.877,0.427,0.324
C000475,48,west,466.7,0.547,0.2,0.528
C000476,37,west,200.8,0.894,0.366,0.287
C000477,54,central,412.6,0.452,0.435,0.576
C000478,27,north,760.0,0.258,0.526,0.484
C000479,41,central,354.3,0.648,0.385,0.316
C000480,72,central,396.2,0.424,0.441,0.365
C000481,44,west,233.5,0.993,0.201,0.382
C000482,58,east,311.8,0.478,0.335,0.309
C000483,42,west,1320.9,0.263,0.829,0.57
C000484,48,east,480.6,0.683,0.343,0.654
C000485,40,south,252.1,0.662,0.166,0.386
C000486,39,west,380.8,0.44,0.393,0.359
C000487,32,central,176.4,1.0,0.079,0.611
C000488,46,west,250.3,0.601,0.06,0.616
C000489,31,west,1040.5,0.437,0.552,0.906
C000490,49,south,422.3,0.615,0.64,0.273
C000491,54,west,1430.3,0.509,0.661,0.388
C000492,45,central,434.4,0.711,0.456,0.75
C000493,38,east,,0.51,0.116,0.959
C000494,46,central,675.7,0.504,0.583,0.309
C000495,37,central,92.5,0.916,0.134,0.423
C000496,52,central,520.2,0.717,0.365,0.542
C000497,19,west,446.7,0.46,0.461,0.581
C000498,37,central,1122.0,0.754,0.644,0.419
C000499,18,east,820.6,0.4,0.397,0.753
C000500,23,south,233.0,0.764,0.354,0.979
C000501,57,north,969.2,0.307,0.769,0.169
C000502,52,east,393.0,0.466,0.375,0.766
C000503,32,west,267.3,0.607,0.202,0.491
C000504,23,east,517.7,0.461,0.437,0.738
C000505,18,east,407.3,0.592,0.544,1.0
C000506,34,central,1157.8,0.298,0.441,0.657
C000507,70,east,564.3,0.693,0.568,0.281
C000508,46,south,520.4,0.488,0.363,0.652
C000509,34,north,789.7,0.388,0.585,0.557
C000510,47,south,886.2,0.44,0.487,0.605
C000511,22,south,736.1,0.685,0.449,0.635
C000512,37,east,1078.0,0.492,0.839,0.743
C000513,42,south,662.8,0.542,0.302,0.257
C000514,40,central,508.7,0.395,0.533,0.347
C000515,50,south,967.5,0.31,0.849,0.198
C000516,45,east,435.6,0.449,0.532,0.504
C000517,49,west,469.3,0.822,0.245,0.181
C000518,33,south,1292.3,0.503,0.455,0.461
C000519,52,east,1217.3,0.306,0.522,0.244
C000520,61,south,457.7,0.546,0.463,0.699
C000521,29,east,350.4,0.56,0.42,0.429
C000522,30,south,1106.7,0.321,0.425,0.363
C000523,57,north,743.6,0.603,0.405,0.481
C000524,39,north,555.9,0.549,0.356,0.894
C000525,58,central,379.2,0.981,0.375,0.401
C000526,36,central,561.3,0.777,0.778,0.57
C000527,58,central,454.0,0.829,0.298,0.682
C000528,43,central,308.8,0.81,0.214,0.705
C000529,44,west,497.0,0.551,0.286,0.607
C000530,60,east,539.4,0.688,0.567,0.294
C000531,37,north,367.2,0.622,0.389,0.662
C000532,30,west,791.2,0.766,0.414,0.348
C000533,36,east,996.8,0.536,0.54,0.453
C000534,46,central,823.2,0.553,0.438,0.794
C000535,22,north,389.7,0.682,0.452,0.936
C000536,49,north,723.9,0.8,0.934,0.574
C000537,35,east,482.0,0.405,0.532,0.199
C000538,55,east,219.2,1.0,0.278,0.203
C000539,18,east,688.7,0.521,0.421,0.568
C000540,32,south,502.2,0.401,0.256,0.572
C000541,21,east,2180.6,0.206,0.861,0.433
C000542,31,west,1102.8,0.207,0.717,0.564
C000543,44,central,704.8,0.642,0.456,0.875
C000544,39,west,534.2,0.444,0.652,0.637
C000545,38,south,507.5,0.635,0.463,0.608
C000546,39,east,251.9,0.92,0.436,0.353
C000547,43,north,162.0,0.738,0.276,0.201
C000548,29,east,272.5,0.694,0.309,0.381
C000549,49,central,447.0,0.44,0.291,0.151
C000550,49,west,130.0,0.824,0.166,0.502
C000551,46,east,331.8,1.0,0.501,0.585
C000552,48,west,396.5,0.776,0.334,0.301
C000553,45,central,404.2,0.616,0.48,0.545
C000554,65,south,309.3,0.617,0.198,0.669
C000555,40,west,374.8,0.664,0.516,0.942
C000556,37,central,1294.1,0.442,0.694,0.725
C000557,32,south,684.4,0.487,0.339,0.571
C000558,29,south,328.7,0.776,0.339,0.775
C000559,26,east,441.5,0.495,0.572,0.918
C000560,30,north,452.3,0.489,0.248,0.219
C000561,40,central,290.2,0.777,0.187,0.846
C000562,45,west,290.0,0.547,0.338,0.406
C000563,42,east,843.5,0.618,0.881,0.429
C000564,32,west,357.6,0.678,0.289,0.535
C000565,52,north,238.5,0.487,0.383,0.53
C000566,50,central,448.2,0.651,0.474,0.258
C000567,39,east,493.8,0.363,0.366,0.5
C000568,33,south,140.8,0.97,0.228,0.704
C000569,48,west,448.9,0.597,0.368,0.538
C000570,43,east,774.3,0.803,0.491,0.605
C000571,24,north,603.0,0.736,0.245,0.597
C000572,40,central,1753.0,0.203,0.704,0.689
C000573,44,east,974.5,0.177,0.725,0.733
C000574,30,north,1097.3,0.343,0.623,0.819
C000575,43,south,,0.111,0.94,0.615
C000576,24,east,725.0,0.813,0.618,0.85
C000577,57,east,507.3,0.609,0.451,0.605
C000578,56,east,825.1,0.653,0.463,0.973
C000579,38,central,328.9,0.654,0.3,0.808
